MG779418.1	MG779418.1_Arawakia_weddelliana
MF871697.1	MF871697.1_Arawakia_caputmonsia
MG779419.1	MG779419.1_Arawakia_lanceolata
MF871698.1	MF871698.1_Arawakia_panamaea
MG779417.1	MG779417.1_Clusia_articulata
MF871693.1	MF871693.1_Clusia_valerioi
MF871674.1	MF871674_Clusia_minor_PMA565
MF871673.1	MF871673_Clusia_minor_RSA526
MG779428.1	MG779428_Clusia_minor_{B. Hammel 26672}
MG779426.1	MG779426 Clusia pratensis {B. Hammel 26673}
MF871675.1	MF871675_Clusia_minor_PMA597
MF871684.1	MF871684_Clusia_pratensis
MF871671.1	MF871671_Clusia_reginae
MF871661.1	MF871661_Clusia_decussata
MF871687.1	MF871687_Clusia_rosiflora
AJ414711.1	AJ414711_Clusia_aripoensis_{Darmstadt}
AJ414712.1	AJ414712_Clusia_articulata_{Darmstadt}
AJ414717.1	AJ414717_Clusia_major_{Darmstadt}
AJ414718.1	AJ414718_Clusia_minor_{Darmstadt}
AJ414722.1	AJ414722_Clusia_rosea_{Darmstadt}
AJ414726.1	AJ414726_Clusia_venosa_{Darmstadt}
AJ509196.1	AJ509196 Clusia pratensis {Panama}
AY145222.1	AY145222_Clusia_major_{M. Gustafsson 396 Martinique}
AY145197.1	AY145197_Clusia_aripoensis_{A. Borland s.n.}
AY145200.1	AY145200_Clusia_valerioi_BH22393
AY145169.1	AY145169 Clusia minor {M. Gustafsson 291}
AY145167.1	AY145167 Clusia insignis
AY145196.1	AY145196 Clusiu viscidu
W1000-1-2021	W1000-1-2021 Clusia major orig. C. multiflora {W0391620}
D1380-1-2011	D1380-1-2011 Clusia major orig. C. venosa {W0356384}
D5919-1-2011	D5919-1-2011 Clusia minor s.l. {W0391623}
W1002-1-2019	W1002-1-2019 Clusia rosea {W0356382}
