date,timeofday,condition,rep,LeafTemp,AmbientTemp,Delta
2021-07-13,17:13,DARK,RD3,35.09,35.03,0.06
2021-07-13,17:13,DARK,FD2,34.25,35.01,-0.76
2021-07-13,17:13,DARK,MD1,34.97,35.27,-0.3
2021-07-13,17:13,HighLight,RH2,35.09,35.03,0.06
2021-07-13,17:13,HighLight,MH5,35.83,35.61,0.22
2021-07-13,17:13,HighLight,FH5,36.15,36.25,-0.1
2021-07-13,17:13,HighLight,MH1,35.89,35.65,0.24
2021-07-13,17:14,DARK,RD3,35.19,35.09,0.1
2021-07-13,17:14,DARK,FD2,34.47,35.13,-0.66
2021-07-13,17:14,DARK,MD1,35.09,35.31,-0.22
2021-07-13,17:14,HighLight,RH2,35.27,35.33,-0.06
2021-07-13,17:14,HighLight,MH5,35.91,35.83,0.08
2021-07-13,17:14,HighLight,FH5,36.25,36.35,-0.1
2021-07-13,17:14,HighLight,MH1,35.93,35.89,0.04
2021-07-13,17:15,DARK,RD3,35.31,35.21,0.1
2021-07-13,17:15,DARK,FD2,34.61,35.27,-0.66
2021-07-13,17:15,DARK,MD1,35.13,35.47,-0.34
2021-07-13,17:15,HighLight,RH2,35.45,35.45,0.0
2021-07-13,17:15,HighLight,MH5,36.15,35.95,0.2
2021-07-13,17:15,HighLight,FH5,36.21,36.41,-0.2
2021-07-13,17:15,HighLight,MH1,35.97,35.93,0.04
2021-07-13,17:16,DARK,RD3,35.27,35.17,0.1
2021-07-13,17:16,DARK,FD2,34.59,35.15,-0.56
2021-07-13,17:16,DARK,MD1,34.99,35.39,-0.4
2021-07-13,17:16,HighLight,RH2,35.37,35.51,-0.14
2021-07-13,17:16,HighLight,MH5,36.17,35.99,0.18
2021-07-13,17:16,HighLight,FH5,36.17,36.45,-0.28
2021-07-13,17:16,HighLight,MH1,36.07,36.07,0.0
2021-07-13,17:17,DARK,RD3,35.31,35.19,0.12
2021-07-13,17:17,DARK,FD2,34.63,35.21,-0.58
2021-07-13,17:17,DARK,MD1,35.05,35.45,-0.4
2021-07-13,17:17,HighLight,RH2,35.59,35.61,-0.02
2021-07-13,17:17,HighLight,MH5,36.33,36.15,0.18
2021-07-13,17:17,HighLight,FH5,36.47,36.55,-0.08
2021-07-13,17:17,HighLight,MH1,36.17,36.15,0.02
2021-07-13,17:18,DARK,RD3,35.29,35.27,0.02
2021-07-13,17:18,DARK,FD2,34.59,35.15,-0.56
2021-07-13,17:18,DARK,MD1,35.01,35.53,-0.52
2021-07-13,17:18,HighLight,RH2,35.07,35.29,-0.22
2021-07-13,17:18,HighLight,MH5,35.99,35.95,0.04
2021-07-13,17:18,HighLight,FH5,36.17,36.47,-0.3
2021-07-13,17:18,HighLight,MH1,35.91,35.91,0.0
2021-07-13,17:19,DARK,RD3,35.15,35.13,0.02
2021-07-13,17:19,DARK,FD2,34.71,35.17,-0.46
2021-07-13,17:19,DARK,MD1,34.91,35.39,-0.48
2021-07-13,17:19,HighLight,RH2,34.85,35.15,-0.3
2021-07-13,17:19,HighLight,MH5,36.01,35.91,0.1
2021-07-13,17:19,HighLight,FH5,35.93,36.35,-0.42
2021-07-13,17:19,HighLight,MH1,35.59,35.81,-0.22
2021-07-13,17:20,DARK,RD3,34.99,34.99,0.0
2021-07-13,17:20,DARK,FD2,34.33,35.03,-0.7
2021-07-13,17:20,DARK,MD1,34.71,35.23,-0.52
2021-07-13,17:20,HighLight,RH2,34.89,34.93,-0.04
2021-07-13,17:20,HighLight,MH5,35.47,35.57,-0.1
2021-07-13,17:20,HighLight,FH5,35.81,36.19,-0.38
2021-07-13,17:20,HighLight,MH1,35.15,35.59,-0.44
2021-07-13,17:21,DARK,RD3,34.91,34.85,0.06
2021-07-13,17:21,DARK,FD2,34.33,34.85,-0.52
2021-07-13,17:21,DARK,MD1,34.55,34.97,-0.42
2021-07-13,17:21,HighLight,RH2,34.97,34.97,0.0
2021-07-13,17:21,HighLight,MH5,35.71,35.61,0.1
2021-07-13,17:21,HighLight,FH5,35.89,36.13,-0.24
2021-07-13,17:21,HighLight,MH1,35.51,35.55,-0.04
2021-07-13,17:22,DARK,RD3,34.85,34.91,-0.06
2021-07-13,17:22,DARK,FD2,34.17,35.01,-0.84
2021-07-13,17:22,DARK,MD1,34.23,35.11,-0.88
2021-07-13,17:22,HighLight,RH2,34.77,34.89,-0.12
2021-07-13,17:22,HighLight,MH5,35.55,35.53,0.02
2021-07-13,17:22,HighLight,FH5,35.71,36.01,-0.3
2021-07-13,17:22,HighLight,MH1,35.39,35.53,-0.14
2021-07-13,17:23,DARK,RD3,34.97,34.87,0.1
2021-07-13,17:23,DARK,FD2,34.31,34.87,-0.56
2021-07-13,17:23,DARK,MD1,34.37,35.09,-0.72
2021-07-13,17:23,HighLight,RH2,35.09,35.07,0.02
2021-07-13,17:23,HighLight,MH5,35.75,35.67,0.08
2021-07-13,17:23,HighLight,FH5,35.93,36.05,-0.12
2021-07-13,17:23,HighLight,MH1,35.67,35.69,-0.02
2021-07-13,17:24,DARK,RD3,35.09,34.89,0.2
2021-07-13,17:24,DARK,FD2,34.23,34.91,-0.68
2021-07-13,17:24,DARK,MD1,34.47,35.09,-0.62
2021-07-13,17:24,HighLight,RH2,35.07,35.15,-0.08
2021-07-13,17:24,HighLight,MH5,35.81,35.81,0.0
2021-07-13,17:24,HighLight,FH5,35.85,36.03,-0.18
2021-07-13,17:24,HighLight,MH1,35.19,35.71,-0.52
2021-07-13,17:25,DARK,RD3,35.07,34.99,0.08
2021-07-13,17:25,DARK,FD2,34.07,34.95,-0.88
2021-07-13,17:25,DARK,MD1,34.43,35.19,-0.76
2021-07-13,17:25,HighLight,RH2,35.05,35.05,0.0
2021-07-13,17:25,HighLight,MH5,35.81,35.63,0.18
2021-07-13,17:25,HighLight,FH5,35.85,36.09,-0.24
2021-07-13,17:25,HighLight,MH1,35.67,35.65,0.02
2021-07-13,17:26,DARK,RD3,35.05,34.93,0.12
2021-07-13,17:26,DARK,FD2,34.21,34.87,-0.66
2021-07-13,17:26,DARK,MD1,34.37,35.13,-0.76
2021-07-13,17:26,HighLight,RH2,34.99,35.07,-0.08
2021-07-13,17:26,HighLight,MH5,35.77,35.61,0.16
2021-07-13,17:26,HighLight,FH5,35.89,36.07,-0.18
2021-07-13,17:26,HighLight,MH1,35.63,35.65,-0.02
2021-07-13,17:27,DARK,RD3,34.89,34.89,0.0
2021-07-13,17:27,DARK,FD2,34.01,34.87,-0.86
2021-07-13,17:27,DARK,MD1,34.31,35.05,-0.74
2021-07-13,17:27,HighLight,RH2,34.69,34.97,-0.28
2021-07-13,17:27,HighLight,MH5,35.55,35.53,0.02
2021-07-13,17:27,HighLight,FH5,35.71,35.97,-0.26
2021-07-13,17:27,HighLight,MH1,35.31,35.53,-0.22
2021-07-13,17:28,DARK,RD3,34.91,34.85,0.06
2021-07-13,17:28,DARK,FD2,34.09,34.85,-0.76
2021-07-13,17:28,DARK,MD1,34.33,35.03,-0.7
2021-07-13,17:28,HighLight,RH2,34.97,35.05,-0.08
2021-07-13,17:28,HighLight,MH5,35.55,35.57,-0.02
2021-07-13,17:28,HighLight,FH5,35.77,35.87,-0.1
2021-07-13,17:28,HighLight,MH1,35.47,35.55,-0.08
2021-07-13,17:29,DARK,RD3,35.07,34.95,0.12
2021-07-13,17:29,DARK,FD2,34.39,34.95,-0.56
2021-07-13,17:29,DARK,MD1,34.61,35.19,-0.58
2021-07-13,17:29,HighLight,RH2,35.21,35.25,-0.04
2021-07-13,17:29,HighLight,MH5,35.71,35.69,0.02
2021-07-13,17:29,HighLight,FH5,35.97,36.03,-0.06
2021-07-13,17:29,HighLight,MH1,35.75,35.73,0.02
2021-07-13,17:30,DARK,RD3,35.21,35.15,0.06
2021-07-13,17:30,DARK,FD2,34.31,35.13,-0.82
2021-07-13,17:30,DARK,MD1,34.63,35.35,-0.72
2021-07-13,17:30,HighLight,RH2,35.27,35.35,-0.08
2021-07-13,17:30,HighLight,MH5,35.97,35.89,0.08
2021-07-13,17:30,HighLight,FH5,36.07,36.15,-0.08
2021-07-13,17:30,HighLight,MH1,35.85,35.93,-0.08
2021-07-13,17:31,DARK,RD3,34.91,35.17,-0.26
2021-07-13,17:31,DARK,FD2,34.03,35.11,-1.08
2021-07-13,17:31,DARK,MD1,34.45,35.41,-0.96
2021-07-13,17:31,HighLight,RH2,34.77,35.05,-0.28
2021-07-13,17:31,HighLight,MH5,35.43,35.51,-0.08
2021-07-13,17:31,HighLight,FH5,35.55,36.05,-0.5
2021-07-13,17:31,HighLight,MH1,34.77,35.63,-0.86
2021-07-13,17:32,DARK,RD3,34.85,34.87,-0.02
2021-07-13,17:32,DARK,FD2,34.03,34.91,-0.88
2021-07-13,17:32,DARK,MD1,34.43,35.03,-0.6
2021-07-13,17:32,HighLight,RH2,34.67,34.83,-0.16
2021-07-13,17:32,HighLight,MH5,35.47,35.45,0.02
2021-07-13,17:32,HighLight,FH5,35.53,35.83,-0.3
2021-07-13,17:32,HighLight,MH1,35.07,35.41,-0.34
2021-07-13,17:33,DARK,RD3,34.89,34.89,0.0
2021-07-13,17:33,DARK,FD2,34.25,34.95,-0.7
2021-07-13,17:33,DARK,MD1,34.59,35.11,-0.52
2021-07-13,17:33,HighLight,RH2,34.85,34.91,-0.06
2021-07-13,17:33,HighLight,MH5,35.51,35.49,0.02
2021-07-13,17:33,HighLight,FH5,35.53,35.77,-0.24
2021-07-13,17:33,HighLight,MH1,35.37,35.47,-0.1
2021-07-13,17:34,DARK,RD3,34.97,34.91,0.06
2021-07-13,17:34,DARK,FD2,34.13,34.91,-0.78
2021-07-13,17:34,DARK,MD1,34.55,35.13,-0.58
2021-07-13,17:34,HighLight,RH2,34.71,35.05,-0.34
2021-07-13,17:34,HighLight,MH5,35.59,35.53,0.06
2021-07-13,17:34,HighLight,FH5,35.69,35.93,-0.24
2021-07-13,17:34,HighLight,MH1,35.43,35.55,-0.12
2021-07-13,17:35,DARK,RD3,34.83,34.87,-0.04
2021-07-13,17:35,DARK,FD2,34.09,34.81,-0.72
2021-07-13,17:35,DARK,MD1,34.51,35.05,-0.54
2021-07-13,17:35,HighLight,RH2,34.89,34.99,-0.1
2021-07-13,17:35,HighLight,MH5,35.53,35.49,0.04
2021-07-13,17:35,HighLight,FH5,35.61,35.81,-0.2
2021-07-13,17:35,HighLight,MH1,35.45,35.53,-0.08
2021-07-13,17:36,DARK,RD3,34.81,34.79,0.02
2021-07-13,17:36,DARK,FD2,33.99,34.77,-0.78
2021-07-13,17:36,DARK,MD1,34.39,35.03,-0.64
2021-07-13,17:36,HighLight,RH2,34.77,34.89,-0.12
2021-07-13,17:36,HighLight,MH5,35.45,35.45,0.0
2021-07-13,17:36,HighLight,FH5,35.47,35.75,-0.28
2021-07-13,17:36,HighLight,MH1,35.29,35.35,-0.06
2021-07-13,17:37,DARK,RD3,34.83,34.79,0.04
2021-07-13,17:37,DARK,FD2,34.15,34.71,-0.56
2021-07-13,17:37,DARK,MD1,34.61,35.01,-0.4
2021-07-13,17:37,HighLight,RH2,34.81,34.89,-0.08
2021-07-13,17:37,HighLight,MH5,35.51,35.43,0.08
2021-07-13,17:37,HighLight,FH5,35.69,35.79,-0.1
