date,timeofday,condition,rep,SoilTemp,SoilMoisture
2021-07-13,17:13,DARK,FD2,33.5,635.72
2021-07-13,17:13,DARK,FD6,NA,557.59
2021-07-13,17:13,DARK,RD6,NA,574.52
2021-07-13,17:13,DARK,MD1,33.62,481.76
2021-07-13,17:13,DARK,RD3,34.0,646.31
2021-07-13,17:13,DARK,RD10,NA,595.23
2021-07-13,17:13,DARK,MD6,34.5,434.81
2021-07-13,17:13,DARK,MD5,NA,555.17
2021-07-13,17:13,DARK,FD1,NA,410.62
2021-07-13,17:13,HighLight,RH2,34.0,35.5
2021-07-13,17:13,HighLight,RH5,NA,154.88
2021-07-13,17:13,HighLight,FH5,34.0,4.79
2021-07-13,17:13,HighLight,FH2,33.31,0.78
2021-07-13,17:13,HighLight,FH4,NA,6.45
2021-07-13,17:13,HighLight,MH1,33.25,200.5
2021-07-13,17:13,HighLight,RH10,33.5,0.36
2021-07-13,17:13,HighLight,MH5,33.0,131.26
2021-07-13,17:13,HighLight,MH6,NA,74.86
2021-07-13,17:14,DARK,FD2,33.5,635.3
2021-07-13,17:14,DARK,FD6,NA,556.69
2021-07-13,17:14,DARK,RD6,NA,573.83
2021-07-13,17:14,DARK,MD1,33.62,480.57
2021-07-13,17:14,DARK,RD3,34.0,642.46
2021-07-13,17:14,DARK,RD10,NA,597.53
2021-07-13,17:14,DARK,MD6,34.5,433.07
2021-07-13,17:14,DARK,MD5,NA,553.4
2021-07-13,17:14,DARK,FD1,NA,409.54
2021-07-13,17:14,HighLight,RH2,33.94,34.07
2021-07-13,17:14,HighLight,RH5,NA,156.47
2021-07-13,17:14,HighLight,FH5,34.0,4.81
2021-07-13,17:14,HighLight,FH2,33.25,1.18
2021-07-13,17:14,HighLight,FH4,NA,6.27
2021-07-13,17:14,HighLight,MH1,33.19,193.74
2021-07-13,17:14,HighLight,RH10,33.5,0.28
2021-07-13,17:14,HighLight,MH5,33.0,127.74
2021-07-13,17:14,HighLight,MH6,NA,75.0
2021-07-13,17:15,DARK,FD2,33.44,636.47
2021-07-13,17:15,DARK,FD6,NA,558.57
2021-07-13,17:15,DARK,RD6,NA,575.33
2021-07-13,17:15,DARK,MD1,33.62,481.62
2021-07-13,17:15,DARK,RD3,34.0,646.91
2021-07-13,17:15,DARK,RD10,NA,599.48
2021-07-13,17:15,DARK,MD6,34.5,434.73
2021-07-13,17:15,DARK,MD5,NA,556.06
2021-07-13,17:15,DARK,FD1,NA,411.95
2021-07-13,17:15,HighLight,RH2,34.0,33.24
2021-07-13,17:15,HighLight,RH5,NA,149.08
2021-07-13,17:15,HighLight,FH5,34.0,4.85
2021-07-13,17:15,HighLight,FH2,33.31,1.32
2021-07-13,17:15,HighLight,FH4,NA,5.5
2021-07-13,17:15,HighLight,MH1,33.25,193.0
2021-07-13,17:15,HighLight,RH10,33.5,0.05
2021-07-13,17:15,HighLight,MH5,33.0,126.78
2021-07-13,17:15,HighLight,MH6,NA,71.9
2021-07-13,17:16,DARK,FD2,33.44,635.06
2021-07-13,17:16,DARK,FD6,NA,557.05
2021-07-13,17:16,DARK,RD6,NA,573.2
2021-07-13,17:16,DARK,MD1,33.62,480.16
2021-07-13,17:16,DARK,RD3,34.0,644.37
2021-07-13,17:16,DARK,RD10,NA,597.91
2021-07-13,17:16,DARK,MD6,34.5,433.39
2021-07-13,17:16,DARK,MD5,NA,554.8
2021-07-13,17:16,DARK,FD1,NA,411.02
2021-07-13,17:16,HighLight,RH2,34.0,34.53
2021-07-13,17:16,HighLight,RH5,NA,154.55
2021-07-13,17:16,HighLight,FH5,34.0,4.68
2021-07-13,17:16,HighLight,FH2,33.38,1.03
2021-07-13,17:16,HighLight,FH4,NA,5.34
2021-07-13,17:16,HighLight,MH1,33.25,200.6
2021-07-13,17:16,HighLight,RH10,33.5,0.28
2021-07-13,17:16,HighLight,MH5,33.0,130.96
