VBCF	SID	Code
190967	1	FH5T13
190968	2	FH5T08
190969	3	FH3T13
190970	4	FH2T13
190971	5	MH6T13
190972	6	FH3T19
190973	7	FH3T04
190974	8	FH3T08
190975	9	FH5T19
190976	10	FH2T19
190977	11	FH2T04
190978	12	FH2T08
191045	13	MH3T13
191046	14	MH3T19
191047	15	MH3T04
191048	16	MH3T08
191049	17	FH5T04
191050	18	MH6T19
191051	19	MH6T04
191052	20	MH6T08
191053	21	MH2T13
191054	22	MH2T19
191055	23	MH2T04
191056	24	MH2T08
191057	25	RH1T13
191058	26	RH1T19
191059	27	RH1T04
191060	28	RH1T08
191061	29	RH5T13
191062	30	RH5T19
191063	31	RH5T04
191064	32	RH5T08
191065	33	RH9T13
191066	34	RH9T19
191067	35	RH9T04
191068	36	RH9T08
191069	37	FD1T13
191070	38	FD1T19
191071	39	FD1T04
191072	40	FD1T08
191073	41	FD2T13
191074	42	FD2T19
191075	43	FD2T04
191076	44	FD2T08
191077	45	FD3T13
191078	46	FD3T19
191079	47	FD3T04
191080	48	FD3T08
191081	49	MD6T13
191082	50	MD6T19
191083	51	MD6T04
191084	52	MD6T08
191085	53	MD4T13
191086	54	MD4T19
191087	55	MD4T04
191088	56	MD4T08
191089	57	MD1T13
191090	58	MD1T19
191091	59	MD1T04
191092	60	MD1T08
191164	61	RD6T13
191165	62	RD6T19
191166	63	RD6T04
191167	64	RD6T08
191168	65	RD7T13
191169	66	RD7T19
191170	67	RD7T04
191171	68	RD7T08
191172	69	RD8T13
191173	70	RD8T19
191174	71	RD8T04
191175	72	RD8T08
