#reassigned_contig	top_hit_contig	second_hit_contig	best_match_coverage	max_match_coverage	reassignment
CMU000013F	CMU000424F	CMU000005F	99.98	125.51	HAPLOTIG
CMU000036F	CMU000292F	CMU002828F	99.88	102.37	HAPLOTIG
CMU000084F	CMU000083F	CMU000578F	98.03	638.79	REPEAT
CMU000101F	CMU000403F	CMU000096F	100.00	251.27	REPEAT
CMU000175F	CMU000120F	CMU000718F	70.27	87.79	HAPLOTIG
CMU000235F	CMU001467F	CMU000117F	94.45	122.73	HAPLOTIG
CMU000259F	CMU002409F	CMU000693F	99.96	113.01	HAPLOTIG
CMU000269F	CMU000402F	CMU000252F	99.99	157.63	HAPLOTIG
CMU000278F	CMU001486F	CMU000249F	99.86	137.27	HAPLOTIG
CMU000329F	CMU000004F	CMU000884F	87.97	141.37	HAPLOTIG
CMU000351F	CMU002783F	CMU000838F	83.81	167.61	HAPLOTIG
CMU000364F	CMU000425F	CMU000346F	100.00	184.06	HAPLOTIG
CMU000365F	CMU000547F	CMU000270F	99.99	144.58	HAPLOTIG
CMU000387F	CMU000039F	CMU000340F	99.98	121.26	HAPLOTIG
CMU000394F	CMU002012F	CMU001862F	99.67	227.11	HAPLOTIG
CMU000428F	CMU001365F	CMU000410F	99.99	174.35	HAPLOTIG
CMU000434F	CMU000408F	CMU000012F	81.96	84.99	HAPLOTIG
CMU000435F	CMU000104F	CMU000006F	95.81	98.48	HAPLOTIG
CMU000439F	CMU000138F	CMU000019F	80.98	84.07	HAPLOTIG
CMU000448F	CMU000420F	CMU000626F	81.09	331.85	REPEAT
CMU000454F	CMU000093F	CMU001276F	74.79	77.93	HAPLOTIG
CMU000455F	CMU000049F	CMU000085F	99.99	148.56	HAPLOTIG
CMU000459F	CMU000190F	CMU000092F	92.08	94.67	HAPLOTIG
CMU000469F	CMU000006F	CMU000014F	73.50	75.18	HAPLOTIG
CMU000485F	CMU000476F	CMU000018F	99.99	108.35	HAPLOTIG
CMU000489F	CMU000271F	CMU000092F	99.27	102.15	HAPLOTIG
CMU000506F	CMU002289F	CMU000019F	89.59	97.76	HAPLOTIG
