#reassigned_contig	top_hit_contig	second_hit_contig	best_match_coverage	max_match_coverage	reassignment	new_name
CMU001601F	CMU000001F	CMU000019F	85.68	143.43	HAPLOTIG	000000F_000
CMU001592F	CMU000001F	CMU000037F	99.99	136.97	HAPLOTIG	000000F_001
CMU002147F	CMU000001F	CMU000019F	96.43	138.60	HAPLOTIG	000000F_002
CMU002221F	CMU000000F	CMU000002F	98.59	125.85	HAPLOTIG	000001F_000
CMU003021F	CMU000000F	CMU000897F	99.84	482.23	REPEAT	000001F_001
CMU003094F	CMU000000F	CMU000057F	100.00	234.12	HAPLOTIG	000001F_002
CMU000329F	CMU000004F	CMU000884F	87.97	141.37	HAPLOTIG	000003F_000
CMU001648F	CMU000004F	CMU000052F	100.00	100.14	HAPLOTIG	000003F_001
CMU003081F	CMU000004F	CMU000031F	99.99	831.61	REPEAT	000003F_002
CMU000469F	CMU000006F	CMU000014F	73.50	75.18	HAPLOTIG	000004F_000
CMU001296F	CMU000006F	CMU000025F	100.00	100.84	HAPLOTIG	000004F_001
CMU001394F	CMU000006F	CMU000381F	98.86	341.02	REPEAT	000004F_002
CMU002873F	CMU000006F	CMU000002F	99.98	100.64	HAPLOTIG	000004F_003
CMU001226F	CMU000005F	CMU000072F	96.01	159.06	HAPLOTIG	000005F_000
CMU001422F	CMU000005F	CMU002694F	95.50	99.21	HAPLOTIG	000005F_001
CMU001615F	CMU000005F	CMU000216F	89.33	91.24	HAPLOTIG	000005F_002
CMU001776F	CMU000005F	CMU000091F	99.98	114.34	HAPLOTIG	000005F_003
CMU002926F	CMU000005F	CMU000001F	99.97	100.58	HAPLOTIG	000005F_004
CMU001999F	CMU000007F	CMU000000F	99.97	109.93	HAPLOTIG	000006F_000
CMU002605F	CMU000007F	CMU001191F	99.97	99.97	HAPLOTIG	000006F_001
CMU003496F	CMU000007F	CMU000398F	99.86	114.13	HAPLOTIG	000006F_002
CMU001053F	CMU000008F	CMU000249F	83.35	472.57	REPEAT	000007F_000
CMU001178F	CMU000008F	CMU000091F	99.99	109.27	HAPLOTIG	000007F_001
