# primary chromosome-level assembly
PGA_scaffold_1__109_contigs__length_76287289	CMU01
PGA_scaffold_2__119_contigs__length_71338018	CMU04
PGA_scaffold_3__126_contigs__length_72292750	CMU03
PGA_scaffold_4__108_contigs__length_69856204	CMU05
PGA_scaffold_5__97_contigs__length_74347161	CMU02
PGA_scaffold_6__100_contigs__length_64660415	CMU06
PGA_scaffold_7__90_contigs__length_56255059	CMU10
PGA_scaffold_8__78_contigs__length_53019824	CMU12
PGA_scaffold_9__49_contigs__length_55815155	CMU11
PGA_scaffold_10__88_contigs__length_57883896	CMU09
PGA_scaffold_11__66_contigs__length_51662555	CMU14
PGA_scaffold_12__76_contigs__length_61564212	CMU07
PGA_scaffold_13__78_contigs__length_59727101	CMU08
PGA_scaffold_14__59_contigs__length_52217287	CMU13
PGA_scaffold_15__60_contigs__length_45440704	CMU19
PGA_scaffold_16__62_contigs__length_43189115	CMU22
PGA_scaffold_17__64_contigs__length_46108799	CMU18
PGA_scaffold_18__56_contigs__length_50117343	CMU16
PGA_scaffold_19__72_contigs__length_51225326	CMU15
PGA_scaffold_20__63_contigs__length_44974614	CMU20
PGA_scaffold_21__58_contigs__length_43154459	CMU23
PGA_scaffold_22__58_contigs__length_44801919	CMU21
PGA_scaffold_23__59_contigs__length_42796617	CMU24
PGA_scaffold_24__46_contigs__length_39186082	CMU26
PGA_scaffold_25__54_contigs__length_47886968	CMU17
PGA_scaffold_26__57_contigs__length_40321833	CMU25
PGA_scaffold_27__37_contigs__length_36720776	CMU27
PGA_scaffold_28__41_contigs__length_35244574	CMU28
PGA_scaffold_29__44_contigs__length_34721703	CMU29
PGA_scaffold_30__8_contigs__length_2369713	CMU00.2
PGA_scaffold_31__3_contigs__length_2348458	CMU00.3
PGA_scaffold_32__5_contigs__length_2371139	CMU00.1
# scaffolded haplotigs
PGA_scaffold_33__2_contigs__length_570120	CMU00.4
PGA_scaffold_34__2_contigs__length_535796	CMU00.5
PGA_scaffold_35__3_contigs__length_346258	CMU00.6
# dublicated sequences (moved to haplotigs)
PGA_scaffold_36__19_contigs__length_4166560
# debris (purged sequences)
PGA_scaffold_37__145_contigs__length_2370787
