#136 total breaks in 117 contigs
#orig_contig	fragment	break_start	break_end	fragment_len
CMU000006F	CMU000006F:::fragment_1	0	2627800	2627800
CMU000006F	CMU000006F:::fragment_2:::debris	2627800	2632800	5000
CMU000006F	CMU000006F:::fragment_3	2632800	3302800	670000
CMU000006F	CMU000006F:::fragment_4:::debris	3302800	3307800	5000
CMU000006F	CMU000006F:::fragment_5	3307800	3677457	369657
CMU000006F	CMU000006F:::fragment_6:::debris	3677457	3679457	2000
CMU000006F	CMU000006F:::fragment_7	3679457	5599107	1919650
CMU000007F	CMU000007F:::fragment_1	0	1187895	1187895
CMU000007F	CMU000007F:::fragment_2:::debris	1187895	1257895	70000
CMU000007F	CMU000007F:::fragment_3	1257895	4638896	3381001
CMU000009F	CMU000009F:::fragment_1	0	2811800	2811800
CMU000009F	CMU000009F:::fragment_2:::debris	2811800	2813800	2000
CMU000009F	CMU000009F:::fragment_3	2813800	4575015	1761215
CMU000012F	CMU000012F:::fragment_1	0	3415660	3415660
CMU000012F	CMU000012F:::fragment_2:::debris	3415660	3420660	5000
CMU000012F	CMU000012F:::fragment_3	3420660	4374973	954313
CMU000016F	CMU000016F:::fragment_1	0	3038951	3038951
CMU000016F	CMU000016F:::fragment_2:::debris	3038951	3048951	10000
CMU000016F	CMU000016F:::fragment_3	3048951	3990151	941200
CMU000024F	CMU000024F:::fragment_1	0	2264182	2264182
CMU000024F	CMU000024F:::fragment_2:::debris	2264182	2269182	5000
CMU000024F	CMU000024F:::fragment_3	2269182	2769182	500000
CMU000024F	CMU000024F:::fragment_4:::debris	2769182	2774182	5000
CMU000024F	CMU000024F:::fragment_5	2774182	3615112	840930
CMU000025F	CMU000025F:::fragment_1	0	698854	698854
CMU000025F	CMU000025F:::fragment_2:::debris	698854	699854	1000
CMU000025F	CMU000025F:::fragment_3	699854	4054851	3354997
CMU000026F	CMU000026F:::fragment_1	0	408017	408017
CMU000026F	CMU000026F:::fragment_2:::debris	408017	424017	16000
CMU000026F	CMU000026F:::fragment_3	424017	668612	244595
CMU000026F	CMU000026F:::fragment_4:::debris	668612	673612	5000
CMU000026F	CMU000026F:::fragment_5	673612	3460746	2787134
CMU000028F	CMU000028F:::fragment_1	0	140605	140605
CMU000028F	CMU000028F:::fragment_2:::debris	140605	165605	25000
CMU000028F	CMU000028F:::fragment_3	165605	3455694	3290089
CMU000037F	CMU000037F:::fragment_1	0	1186609	1186609
CMU000037F	CMU000037F:::fragment_2:::debris	1186609	1192609	6000
CMU000037F	CMU000037F:::fragment_3	1192609	3749732	2557123
CMU000038F	CMU000038F:::fragment_1	0	2843237	2843237
CMU000038F	CMU000038F:::fragment_2:::debris	2843237	2903237	60000
CMU000038F	CMU000038F:::fragment_3	2903237	3271593	368356
CMU000039F	CMU000039F:::fragment_1	0	2256040	2256040
CMU000039F	CMU000039F:::fragment_2:::debris	2256040	2257040	1000
CMU000039F	CMU000039F:::fragment_3	2257040	3162711	905671
CMU000051F	CMU000051F:::fragment_1	0	512692	512692
CMU000051F	CMU000051F:::fragment_2:::debris	512692	534692	22000
CMU000051F	CMU000051F:::fragment_3	534692	2905687	2370995
CMU000052F	CMU000052F:::fragment_1	0	1619536	1619536
CMU000052F	CMU000052F:::fragment_2:::debris	1619536	1637536	18000
CMU000052F	CMU000052F:::fragment_3	1637536	3046454	1408918
CMU000055F	CMU000055F:::fragment_1	0	1388162	1388162
CMU000055F	CMU000055F:::fragment_2:::debris	1388162	1390162	2000
CMU000055F	CMU000055F:::fragment_3	1390162	3285192	1895030
CMU000056F	CMU000056F:::fragment_1	0	1433322	1433322
CMU000056F	CMU000056F:::fragment_2:::debris	1433322	1438322	5000
CMU000056F	CMU000056F:::fragment_3	1438322	2935943	1497621
CMU000058F	CMU000058F:::fragment_1	0	339724	339724
CMU000058F	CMU000058F:::fragment_2:::debris	339724	349724	10000
CMU000058F	CMU000058F:::fragment_3	349724	2800227	2450503
CMU000063F	CMU000063F:::fragment_1	0	2216973	2216973
CMU000063F	CMU000063F:::fragment_2:::debris	2216973	2217973	1000
CMU000063F	CMU000063F:::fragment_3	2217973	2765100	547127
CMU000065F	CMU000065F:::fragment_1	0	634427	634427
CMU000065F	CMU000065F:::fragment_2:::debris	634427	664427	30000
CMU000065F	CMU000065F:::fragment_3	664427	3245874	2581447
CMU000071F	CMU000071F:::fragment_1	0	1464442	1464442
CMU000071F	CMU000071F:::fragment_2:::debris	1464442	1466442	2000
CMU000071F	CMU000071F:::fragment_3	1466442	2646459	1180017
CMU000073F	CMU000073F:::fragment_1	0	1418390	1418390
CMU000073F	CMU000073F:::fragment_2:::debris	1418390	1419390	1000
CMU000073F	CMU000073F:::fragment_3	1419390	2679472	1260082
CMU000075F	CMU000075F:::fragment_1	0	2215385	2215385
CMU000075F	CMU000075F:::fragment_2:::debris	2215385	2217385	2000
CMU000075F	CMU000075F:::fragment_3	2217385	2647380	429995
CMU000079F	CMU000079F:::fragment_1	0	839838	839838
CMU000079F	CMU000079F:::fragment_2:::debris	839838	844838	5000
CMU000079F	CMU000079F:::fragment_3	844838	1274838	430000
CMU000079F	CMU000079F:::fragment_4:::debris	1274838	1279838	5000
CMU000079F	CMU000079F:::fragment_5	1279838	2653676	1373838
CMU000085F	CMU000085F:::fragment_1	0	1560546	1560546
CMU000085F	CMU000085F:::fragment_2:::debris	1560546	1562546	2000
CMU000085F	CMU000085F:::fragment_3	1562546	2098847	536301
CMU000085F	CMU000085F:::fragment_4:::debris	2098847	2099847	1000
CMU000085F	CMU000085F:::fragment_5	2099847	2539171	439324
CMU000095F	CMU000095F:::fragment_1	0	1760282	1760282
CMU000095F	CMU000095F:::fragment_2:::debris	1760282	1770282	10000
CMU000095F	CMU000095F:::fragment_3	1770282	2270524	500242
CMU000100F	CMU000100F:::fragment_1	0	1725698	1725698
CMU000100F	CMU000100F:::fragment_2:::debris	1725698	1735698	10000
CMU000100F	CMU000100F:::fragment_3	1735698	2386476	650778
CMU000102F	CMU000102F:::fragment_1	0	1111221	1111221
CMU000102F	CMU000102F:::fragment_2:::debris	1111221	1113221	2000
CMU000102F	CMU000102F:::fragment_3	1113221	2414550	1301329
CMU000109F	CMU000109F:::fragment_1	0	1036274	1036274
CMU000109F	CMU000109F:::fragment_2:::debris	1036274	1038274	2000
CMU000109F	CMU000109F:::fragment_3	1038274	2252425	1214151
CMU000111F	CMU000111F:::fragment_1	0	692645	692645
CMU000111F	CMU000111F:::fragment_2:::debris	692645	697645	5000
CMU000111F	CMU000111F:::fragment_3	697645	2232473	1534828
CMU000112F	CMU000112F:::fragment_1	0	586629	586629
CMU000112F	CMU000112F:::fragment_2:::debris	586629	591629	5000
CMU000112F	CMU000112F:::fragment_3	591629	2186948	1595319
CMU000113F	CMU000113F:::fragment_1	0	1711049	1711049
CMU000113F	CMU000113F:::fragment_2:::debris	1711049	1716049	5000
CMU000113F	CMU000113F:::fragment_3	1716049	2150039	433990
CMU000118F	CMU000118F:::fragment_1	0	1717324	1717324
CMU000118F	CMU000118F:::fragment_2:::debris	1717324	1719324	2000
CMU000118F	CMU000118F:::fragment_3	1719324	2135306	415982
CMU000120F	CMU000120F:::fragment_1	0	482782	482782
CMU000120F	CMU000120F:::fragment_2:::debris	482782	507782	25000
CMU000120F	CMU000120F:::fragment_3	507782	2344436	1836654
CMU000122F	CMU000122F:::fragment_1	0	136604	136604
CMU000122F	CMU000122F:::fragment_2:::debris	136604	141604	5000
CMU000122F	CMU000122F:::fragment_3	141604	1296604	1155000
CMU000122F	CMU000122F:::fragment_4:::debris	1296604	1301604	5000
CMU000122F	CMU000122F:::fragment_5	1301604	2089475	787871
CMU000128F	CMU000128F:::fragment_1	0	1483046	1483046
CMU000128F	CMU000128F:::fragment_2:::debris	1483046	1484046	1000
CMU000128F	CMU000128F:::fragment_3	1484046	2302485	818439
CMU000134F	CMU000134F:::fragment_1	0	934042	934042
CMU000134F	CMU000134F:::fragment_2:::debris	934042	936042	2000
CMU000134F	CMU000134F:::fragment_3	936042	2147964	1211922
CMU000138F	CMU000138F:::fragment_1	0	522299	522299
CMU000138F	CMU000138F:::fragment_2:::debris	522299	547299	25000
